departamento,PIB_per_capita
1,14654.865311871614
2,5502.583359599408
3,6413.809557371761
4,2841.710966594324
5,10861.055176058278
6,4447.281194428339
7,3253.9791165468296
8,3705.3634024380444
9,7089.645961795169
10,4277.2875928465755
11,5334.328928231918
12,4681.389763386482
13,2860.377541927725
14,2601.343610276273
15,2997.228256804486
16,3424.98228253698
17,5385.839495294834
18,6539.42255530219
19,7132.596976437169
20,4013.823897359814
21,3297.5040292184785
22,3875.9549191880064
